"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction"
-1.16163868565953,3.219521868492,-9.58586183798334,4.05653943791562e-20,3.00988078206224e-18,34.954407674209,"ARPP21","Down"
1.21099817738229,4.43205741001872,9.58400462095457,4.11883316669179e-20,3.04269767660482e-18,34.9394562659016,"RAB34","Up"
-1.01036895804188,3.17843220055225,-9.57560198976673,4.41273209865684e-20,3.24557409334835e-18,34.8718364406278,"CADM2","Down"
-1.16560392978882,2.51425481521042,-9.57012656322557,4.61533877580236e-20,3.37983265221039e-18,34.8277952448045,"BMP2","Down"
1.07143385417306,3.51941857249929,9.55720512890491,5.13076753478667e-20,3.70890633426661e-18,34.7239317415487,"TGIF1","Up"
1.3240368163761,3.3578330238851,9.54791336117775,5.53629996111332e-20,3.98495300192443e-18,34.6493038558129,"PDLIM1","Up"
1.52681714379273,3.80329441062366,9.53780251924311,6.01373761044774e-20,4.27381361066546e-18,34.5681546481904,"GPNMB","Up"
-1.12800878250333,1.85376107448108,-9.5349464880458,6.15584375533991e-20,4.35642337694076e-18,34.5452430579924,"SLC1A6","Down"
-1.16723023492276,3.55767081369457,-9.53131368326891,6.34141860677378e-20,4.46897546417953e-18,34.5161069308915,"GRIA4","Down"
1.11394489765633,3.23183859508119,9.51344878865998,7.3378713551721e-20,5.14965696813182e-18,34.372937571431,"PYGL","Up"
1.19046797732624,3.07899334365413,9.50656464493339,7.76199159839954e-20,5.40228200379519e-18,34.317817822752,"PINLYP","Up"
-1.16384373216005,2.73784192894848,-9.49093284343019,8.8174028776451e-20,6.01234391303555e-18,34.1927606613426,"RP11-1055B8.3","Down"
-1.06852906827223,3.42933354035415,-9.49044261992375,8.85270611193265e-20,6.01234391303555e-18,34.1888411033051,"RHBDL3","Down"
1.05061531048672,3.03549306246209,9.48531207423126,9.23069129961667e-20,6.21890134237774e-18,34.1478285344897,"AC010441.1","Up"
1.19941973039897,4.54374160863592,9.4767663828127,9.89611191930595e-20,6.61429416892341e-18,34.0795502617433,"F3","Up"
1.18403759648381,2.56517114218889,9.47342397088948,1.01691193069406e-19,6.76990025639529e-18,34.0528567626824,"LOXL1","Up"
-1.68559973202383,4.74979801161171,-9.47014598109584,1.04441124822717e-19,6.92559789523238e-18,34.02668413385,"GDAP1L1","Down"
-1.38244446022608,4.21802629431137,-9.46676654580349,1.07353327801226e-19,7.09079254963154e-18,33.9997081406882,"LINC00634","Down"
1.23456896216221,3.62827431122623,9.46551756299215,1.08449878675317e-19,7.13523947862645e-18,33.9897399639078,"SPON2","Up"
-1.27780561085021,3.19007516215242,-9.39164876731621,1.97494623742924e-19,1.2793853645008e-17,33.4018264550556,"RPRM","Down"
-1.60611401024632,7.80142542634865,-9.38294817094961,2.11897596271727e-19,1.36742958390984e-17,33.3327918396629,"HES6","Down"
-1.43391184724608,3.73275351903183,-9.36660869922024,2.41815794585245e-19,1.53694468988652e-17,33.2032682378596,"LPPR1","Down"
-1.0837338416665,5.88596108638557,-9.36395635192332,2.47052412986836e-19,1.56432473381101e-17,33.182257948003,"HIP1R","Down"
1.00543663726616,0.932887943159423,9.36237496482232,2.50227910027337e-19,1.5784976361762e-17,33.1697331472422,"HOXD10","Up"
1.37458780688101,1.49014210574027,9.34577007237861,2.86113244817115e-19,1.79813633673681e-17,33.0383099976553,"IL8","Up"
-1.06153833650393,3.47311609007262,-9.34174472791469,2.95553857978235e-19,1.85056268770536e-17,33.0064752348633,"PID1","Down"
1.33528024629066,4.2033869795773,9.33570213649719,3.10307906685296e-19,1.93574669344461e-17,32.9587050452228,"NAMPT","Up"
-1.06500107728533,1.49454935685366,-9.30412647620453,4.00121666999767e-19,2.45063608628257e-17,32.7094357366896,"RP11-357K6.1","Down"
-1.57318887477471,4.73548368814706,-9.28602258252937,4.62778781871313e-19,2.81392888919081e-17,32.5667863019658,"RASL10A","Down"
1.42870786546076,6.03953128797336,9.26747057099669,5.37069882564306e-19,3.25390936403979e-17,32.420809848189,"C1R","Up"
-1.72646132177151,5.95829174642718,-9.26533690374657,5.4633790143009e-19,3.29819687232509e-17,32.4040343464953,"BAI1","Down"
-1.00218771404861,1.80851907579011,-9.24715764006777,6.32008687151093e-19,3.80175797060209e-17,32.2612148218583,"GABRA3","Down"
1.2136171274639,5.15563387237887,9.24620930015915,6.36826030629463e-19,3.81710349960571e-17,32.2537699538325,"CEBPD","Up"
1.14146070681573,1.41377668984173,9.23598685877317,6.91120093224226e-19,4.08439850181602e-17,32.1735538803812,"COL6A3","Up"
-1.13553135555589,4.9516572941396,-9.22695595619815,7.42885543860247e-19,4.35972864642444e-17,32.102740296609,"ADCYAP1R1","Down"
-1.31644886188652,5.05842460102956,-9.2165975870855,8.07002833134247e-19,4.71956552725004e-17,32.0215783240837,"LINGO1","Down"
-1.01185392185723,2.9535472210705,-9.16924649161085,1.1772563329666e-18,6.83742359177808e-17,31.6513901458152,"C2orf27A","Down"
-1.05957863625269,1.89727691648338,-9.16742587049582,1.19444150610226e-18,6.86620419361104e-17,31.6371837718829,"RP11-143K11.1","Down"
1.00200263200751,4.49121023395731,9.16356714891149,1.23169035933461e-18,7.05624514363023e-17,31.6070806805696,"MCAM","Up"
-1.51982107567371,5.92808737346429,-9.16273720050353,1.23985109803184e-18,7.07891933700011e-17,31.6006071761786,"NKAIN4","Down"
-1.07270311067086,6.47988459344906,-9.14962246945712,1.37614799665502e-18,7.75199354771254e-17,31.498369338875,"PDZD4","Down"
-1.17332772598203,3.41697283783846,-9.13756704838177,1.51447577105022e-18,8.47452339262419e-17,31.4044818341346,"LINC00925","Down"
-1.19551852634323,2.81081128122666,-9.13240956977084,1.57778033999093e-18,8.79952128028718e-17,31.3643424796041,"ZNF488","Down"
1.02959417190713,3.41119393397014,9.12841921486685,1.62855127462942e-18,9.05270267940043e-17,31.3332976811161,"FCGR2A","Up"
-1.4808880175796,6.13986762317968,-9.0895847625941,2.2153706721292e-18,1.19979061834959e-16,31.0316750196238,"ENHO","Down"
1.30905009722825,2.46649319807143,9.0741542381257,2.50287215307529e-18,1.33404669855212e-16,30.9120841289028,"PLA2G5","Up"
-1.13438764378308,6.86162625711305,-9.05854272444696,2.83131676476605e-18,1.49961849902373e-16,30.7912391591165,"TNK2","Down"
1.09531154908759,3.8886308718741,9.04937743403038,3.04366403194059e-18,1.60201354031173e-16,30.7203626012507,"LAMB1","Up"
1.34643759695849,1.01905918565061,9.04796653396682,3.0777242470248e-18,1.61489437671772e-16,30.7094564880707,"SAA2","Up"
1.14815133742877,1.60988667614152,9.04037091954578,3.26767744094603e-18,1.70394709405121e-16,30.6507642102012,"SLC47A2","Up"
